Charm++> Running on Gemini (GNI) with 45 processes
Charm++> static SMSG
Charm++> SMSG memory: 222.2KB
Charm++> memory pool init block size: 8MB, total memory pool limit 0MB (0 means no limit)
Charm++> memory pool registered memory limit: 200000MB, send limit: 100000MB
Charm++> only comm thread send/recv messages
Charm++> Cray TLB page size: 2048K
Charm++> Running in SMP mode: numNodes 45,  15 worker threads per process
Charm++> The comm. thread both sends and receives messages
Charm++> Using recursive bisection (scheme 3) for topology aware partitions
Charm++> TORUS A SIZE 11 USING 4 5 6 10
Charm++> TORUS B SIZE 6 USING 0 1 2 3 4 5
Charm++> TORUS C SIZE 8 USING 0 1 2 3 4 5 6 7
Charm++> TORUS MINIMAL MESH SIZE IS 7 BY 6 BY 8
Redirecting stdout to files output_000/0/job0.0.log through 44
EXCHANGE_ACCEPT 0 (1) 1 (0) RUN 92
EXCHANGE_ACCEPT 42 (42) 43 (43) RUN 92
EXCHANGE_ACCEPT 34 (34) 35 (39) RUN 92
EXCHANGE_ACCEPT 30 (29) 31 (30) RUN 92
EXCHANGE_ACCEPT 6 (8) 7 (5) RUN 92
EXCHANGE_ACCEPT 16 (16) 17 (14) RUN 92
EXCHANGE_ACCEPT 20 (20) 21 (21) RUN 92
EXCHANGE_ACCEPT 18 (15) 19 (19) RUN 92
EXCHANGE_ACCEPT 43 (42) 44 (44) RUN 93
EXCHANGE_ACCEPT 39 (40) 40 (37) RUN 93
EXCHANGE_ACCEPT 27 (27) 28 (31) RUN 93
EXCHANGE_ACCEPT 30 (30) 31 (29) RUN 94
EXCHANGE_ACCEPT 22 (25) 23 (23) RUN 94
EXCHANGE_ACCEPT 16 (14) 17 (16) RUN 94
EXCHANGE_ACCEPT 43 (44) 44 (42) RUN 95
EXCHANGE_ACCEPT 25 (26) 26 (24) RUN 95
EXCHANGE_ACCEPT 23 (25) 24 (22) RUN 95
EXCHANGE_ACCEPT 42 (43) 43 (42) RUN 96
EXCHANGE_ACCEPT 16 (16) 17 (14) RUN 96
EXCHANGE_ACCEPT 41 (41) 42 (42) RUN 97
EXCHANGE_ACCEPT 43 (43) 44 (44) RUN 97
EXCHANGE_ACCEPT 29 (28) 30 (29) RUN 97
EXCHANGE_ACCEPT 25 (24) 26 (26) RUN 97
EXCHANGE_ACCEPT 42 (41) 43 (44) RUN 98
EXCHANGE_ACCEPT 10 (10) 11 (11) RUN 98
EXCHANGE_ACCEPT 16 (14) 17 (16) RUN 98
EXCHANGE_ACCEPT 18 (19) 19 (15) RUN 98
EXCHANGE_ACCEPT 43 (41) 44 (43) RUN 99
EXCHANGE_ACCEPT 23 (22) 24 (25) RUN 99
EXCHANGE_ACCEPT 42 (44) 43 (43) RUN 100
EXCHANGE_ACCEPT 36 (35) 37 (36) RUN 100
EXCHANGE_ACCEPT 8 (12) 9 (9) RUN 100
EXCHANGE_ACCEPT 20 (21) 21 (20) RUN 100
EXCHANGE_ACCEPT 16 (16) 17 (14) RUN 100
EXCHANGE_ACCEPT 39 (37) 40 (40) RUN 101
EXCHANGE_ACCEPT 43 (44) 44 (41) RUN 101
